session_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration_sec,command_sequence,device_fingerprint,failed_auth_attempts,label,anomaly_type,_geo_km_per_hr
8509dccf0a20,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,160.73.103.13,Frankfurt_DE,"resource_065,resource_110,resource_034",certificate,526,"write,read,exec,write",fw3.0-adc829,0,normal,none,
a2709d5eb1bd,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,193.157.219.50,Bangalore_IN,resource_107,token,276,"delete,download",fw2.1-973cb5,0,normal,none,
5ca9084c0baf,svc_557cd228,service_account,2026-06-01 00:00:00.000000,179.81.84.97,London_UK,"resource_039,resource_086",certificate,610,"delete,read,config_change,download,exec",svc-node-413ba0,0,normal,none,
1e393794ea5e,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,216.165.145.35,Bangalore_IN,resource_107,token,179,"upload,exec,read,read,delete,write",fw2.1-973cb5,0,normal,none,
331b972850bd,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,68.64.214.219,Bangalore_IN,resource_036,token,297,"config_change,write,list,delete,config_change",fw2.1-973cb5,0,normal,none,
7fd6a0463dba,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,1.235.133.117,Bangalore_IN,"resource_107,resource_036",token,136,"config_change,exec,read",fw2.1-973cb5,0,normal,none,
cbd892b4c826,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,205.110.18.28,Bangalore_IN,resource_036,token,269,"config_change,write,exec,download,delete,write",fw2.1-973cb5,0,normal,none,
f3bdf5c5b535,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,173.54.175.171,Bangalore_IN,"resource_107,resource_036",token,414,"list,write,write,download,list,config_change",fw2.1-973cb5,0,normal,none,
ee70b5af0da8,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,176.203.147.244,Bangalore_IN,"resource_107,resource_036",token,279,"list,download",fw2.1-973cb5,0,normal,none,
40e4a7600a90,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,43.41.97.4,Bangalore_IN,"resource_107,resource_036",token,343,"read,exec,config_change,read,read",fw2.1-973cb5,0,normal,none,
99972b051122,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,126.7.216.203,Bangalore_IN,"resource_036,resource_107",token,303,"exec,exec,write,upload,download",fw2.1-973cb5,0,normal,none,
02d37683320b,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,186.159.49.177,Bangalore_IN,"resource_107,resource_036",token,412,"delete,delete,delete",fw2.1-973cb5,0,normal,none,
8f1aa7d9e366,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,112.218.111.31,Bangalore_IN,resource_036,token,309,"list,upload,list",fw2.1-973cb5,0,normal,none,
37a7c001865e,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,71.167.31.162,Bangalore_IN,resource_036,token,421,"upload,delete,download,list,write,list",fw2.1-973cb5,0,normal,none,
61d4051f5424,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,13.187.25.205,Bangalore_IN,resource_036,token,344,"read,read,config_change,list,config_change",fw2.1-973cb5,0,normal,none,
a7c097ff19c3,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,217.162.231.82,Bangalore_IN,"resource_036,resource_107",token,456,"exec,list,read,download,list,read",fw2.1-973cb5,0,normal,none,
ef6c53258457,dev_52556f96,edge_device,2026-06-01 00:00:00.000000,180.20.54.83,Bangalore_IN,resource_036,token,291,"list,read,config_change,write",fw2.1-973cb5,0,normal,none,
8808f2316705,svc_557cd228,service_account,2026-06-01 00:00:00.000000,80.35.255.110,London_UK,resource_039,certificate,539,"config_change,exec,read,upload,upload",svc-node-413ba0,0,normal,none,
49c905095e99,svc_557cd228,service_account,2026-06-01 00:00:00.000000,15.119.12.145,London_UK,"resource_039,resource_086",certificate,210,"download,write,download",svc-node-413ba0,0,normal,none,
d262cc1b2a75,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,41.67.8.100,Frankfurt_DE,"resource_110,resource_034,resource_065",certificate,227,"download,exec,download",fw3.0-adc829,0,normal,none,
bf421f8b96e1,dev_a5ce7ffe,edge_device,2026-06-01 00:00:00.000000,179.198.208.6,Frankfurt_DE,"resource_110,resource_034,resource_065",certificate,63,"delete,write",fw3.0-adc829,0,normal,none,
