session_id,entity_id,entity_type,label,anomaly_type,predicted_type,predicted_confidence
03d3d05852d6,dev_0d2c7feb,edge_device,normal,none,lateral_movement,0.41561545701538355
b4641d089799,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3640095895892709
f70ee2386b6b,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3521969305505655
a0099a96ad10,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37351558873461066
a3b31e29d0b7,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37663759583257667
3cccd1c36c04,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4190921484627824
6da162376022,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4150542594326805
1a25fa4c0260,dev_0d2c7feb,edge_device,normal,none,lateral_movement,0.4948266521583785
3c52fc5a6274,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3912112533146372
ef857fd17526,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4448285106280565
2603e5aa3cdd,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.34382544455750624
f107a9cd7433,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4486001903727026
8c0e7447c6e0,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.5213094110283895
5668c87ec0bf,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.49435963332012905
ecc4bbe84afa,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.43823931737555183
2fad7ecc69ba,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4425034098436374
0cef5854c84f,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.38539556379285317
c0f21193c4ea,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3321747561976925
6df71151b2b6,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3279611534122252
bf53470f190c,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3921634717922129
88b9f73d4997,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.4367708832476892
a0ec71d79cac,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.4271539643253568
8df5e07e26f6,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37239688658092956
b812a517163b,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.35588177287428135
dbe07d01a262,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3900149894833965
74cd6a93c86f,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.39799771120626315
45c8c3822f43,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3924962007951171
3cd34a8c4027,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4259015558018531
327250980354,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.39799771120626315
078caa83308f,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.42062141975626344
1321d6a4d473,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.40444700382258364
6dcd6b7f15cb,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3998727112062631
9cee57048459,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3749374046418596
33b94417b727,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.36874803881058976
f55aa8e2d0b7,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.40444700382258364
243f3a08216f,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.4279480917861509
0129b9e39289,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3353003820417765
d76b23b14ae4,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.588665079331764
a7c901047e97,dev_0d2c7feb,edge_device,normal,none,lateral_movement,0.3408677048467769
f0b197cbbd38,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.35104270865836845
81fcb6d4b113,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3723416359213172
fd7782488d2c,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37822731800940235
52878acc0582,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4239960574317008
5f86ca47d295,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4007273948541054
0dd31f9778f0,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.35519890802736287
e5c0472cfe23,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4513286858652158
85d0a35a4ca4,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.5064853882398553
b606203cef44,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3455885141445771
52baef48e32f,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4118098652341838
0f5ae08203c6,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3346716745463229
2bdf4fbb1f00,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3747048758887103
454c385acbce,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4482608392575461
4f7bf1a63686,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.4248815028414411
e29a0454427e,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.3983017701564392
5cd336f0e14a,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.42342536532566266
20ee3165b756,dev_0d2c7feb,edge_device,normal,none,lateral_movement,0.5563814817746235
8bddcd79f123,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37159924137751965
fb8cbde0ce6d,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3833764877284491
50624e7d4f25,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.37301839467964554
e23552e200d6,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.38885783342240915
dd8c0b27a714,dev_0d2c7feb,edge_device,normal,none,low_and_slow_exfiltration,0.5793708426966355
02530229cdc9,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.3842899114364673
2bebdec59e45,dev_0d2c7feb,edge_device,normal,none,impossible_travel,0.36627471044046106
