entity_id,entity_type,n_sessions_observed,mean_login_hour,std_login_hour,adaptive_mean_login_hour,adaptive_std_login_hour,n_distinct_resources_seen,resources_seen,n_distinct_devices_seen,mean_session_duration_sec,mean_cmd_seq_len,is_cold_start_entity
dev_09c9cb1b,edge_device,2340,14.24,5.78,17.31,5.1,6,login_endpoint|resource_006|resource_021|resource_061|resource_093|resource_095,4,295.2,4.0,0
dev_1428c6b5,edge_device,2663,16.04,5.41,17.7,4.82,10,login_endpoint|resource_009|resource_024|resource_025|resource_043|resource_068|resource_083|resource_084|resource_104|resource_117,2,297.8,4.01,0
dev_180f6880,edge_device,666,2.87,3.88,3.62,4.43,14,login_endpoint|resource_003|resource_006|resource_019|resource_026|resource_039|resource_046|resource_047|resource_049|resource_083|resource_088|resource_093|resource_097|resource_114,3,290.0,4.02,0
dev_3d8da41d,edge_device,70,15.47,5.91,15.29,6.76,11,login_endpoint|resource_007|resource_009|resource_031|resource_035|resource_045|resource_052|resource_057|resource_059|resource_089|resource_116,2,244.2,3.53,0
dev_52556f96,edge_device,1530,3.58,4.23,4.96,4.5,6,login_endpoint|resource_036|resource_041|resource_104|resource_107|resource_119,2,300.0,3.96,0
dev_5db0d72f,edge_device,872,20.13,4.36,20.53,4.35,2,login_endpoint|resource_113,2,299.5,4.03,0
dev_a5ce7ffe,edge_device,2898,5.51,4.92,8.59,4.93,18,login_endpoint|resource_008|resource_009|resource_025|resource_027|resource_033|resource_034|resource_035|resource_053|resource_060|resource_065|resource_089|resource_090|resource_102|resource_108|resource_110|resource_115|resource_117,2,298.6,4.0,0
dev_ab5f9888,edge_device,1687,19.27,4.74,21.07,3.64,2,login_endpoint|resource_048,2,302.8,4.0,0
svc_2f8c9b0e,service_account,695,9.31,3.89,9.62,3.88,9,login_endpoint|resource_006|resource_011|resource_032|resource_054|resource_066|resource_075|resource_077|resource_080,2,297.2,3.92,0
svc_557cd228,service_account,765,6.27,3.77,7.23,3.43,6,login_endpoint|resource_039|resource_083|resource_086|resource_102|resource_107,2,304.3,3.98,0
svc_76897e89,service_account,36,2.36,3.53,5.1,5.96,7,login_endpoint|resource_010|resource_013|resource_028|resource_065|resource_069|resource_073,3,266.0,3.89,0
svc_8e47b6dc,service_account,1006,12.97,3.96,13.42,4.31,5,login_endpoint|resource_027|resource_034|resource_086|resource_120,2,296.6,4.0,0
svc_c0fa647c,service_account,947,19.13,3.91,19.93,3.63,3,login_endpoint|resource_009|resource_077,2,291.9,4.0,0
