session_id,entity_id,entity_type,hour_z,resource_novelty,n_resources_this_session,device_novel,geo_km_per_hr,session_duration_sec,cmd_seq_len,failed_auth_attempts,is_cold_start,history_size,ip_failed_5min,ip_unique_entities_5min
03d3d05852d6,dev_0d2c7feb,edge_device,1.447913808244046,1.0,3,0,0.0,256,6,0,1,0,0.0,1.0
b4641d089799,dev_0d2c7feb,edge_device,1.136480096584347,0.0,1,0,0.0,289,4,0,1,1,0.0,1.0
f70ee2386b6b,dev_0d2c7feb,edge_device,0.9609067289372685,0.0,1,0,0.0,242,3,0,1,2,0.0,1.0
a0099a96ad10,dev_0d2c7feb,edge_device,1.8959100453489506,0.0,2,0,0.0,353,3,0,1,3,0.0,1.0
a3b31e29d0b7,dev_0d2c7feb,edge_device,2.1347228488456977,0.0,2,0,0.0,126,6,0,1,4,0.0,1.0
3cccd1c36c04,dev_0d2c7feb,edge_device,3.252128013906279,0.0,2,0,0.0,311,3,0,0,5,0.0,1.0
6da162376022,dev_0d2c7feb,edge_device,2.9468910790712988,0.0,1,0,0.0,434,6,0,0,6,0.0,1.0
1a25fa4c0260,dev_0d2c7feb,edge_device,2.9953390399155375,0.0,1,0,0.0,6,5,0,0,7,0.0,1.0
3c52fc5a6274,dev_0d2c7feb,edge_device,2.757534541262248,0.0,1,0,0.0,382,4,0,0,8,0.0,1.0
ef857fd17526,dev_0d2c7feb,edge_device,2.579256076530133,0.0,2,0,0.0,276,4,0,0,9,0.0,1.0
2603e5aa3cdd,dev_0d2c7feb,edge_device,2.7326379273820955,0.0,1,0,0.0,130,6,0,0,10,0.0,1.0
f107a9cd7433,dev_0d2c7feb,edge_device,2.515266664861477,0.0,2,0,0.0,343,5,0,0,11,0.0,1.0
8c0e7447c6e0,dev_0d2c7feb,edge_device,2.341664186939806,0.0,1,0,0.0,238,2,0,0,12,0.0,1.0
5668c87ec0bf,dev_0d2c7feb,edge_device,2.3103991262927583,0.0,3,0,0.0,283,5,0,0,13,0.0,1.0
ecc4bbe84afa,dev_0d2c7feb,edge_device,2.241408601647477,0.0,1,0,0.0,318,5,0,0,14,0.0,1.0
2fad7ecc69ba,dev_0d2c7feb,edge_device,2.1750719934310676,0.0,3,0,0.0,246,3,0,0,15,0.0,1.0
0cef5854c84f,dev_0d2c7feb,edge_device,2.130832067435378,0.0,3,0,0.0,164,3,0,0,16,0.0,1.0
c0f21193c4ea,dev_0d2c7feb,edge_device,2.019125979430831,0.0,3,0,0.0,112,4,0,0,17,0.0,1.0
6df71151b2b6,dev_0d2c7feb,edge_device,1.9729949365590722,0.0,2,0,0.0,154,3,0,0,18,0.0,1.0
bf53470f190c,dev_0d2c7feb,edge_device,1.9443114735759206,0.0,3,0,0.0,163,5,0,0,19,0.0,1.0
88b9f73d4997,dev_0d2c7feb,edge_device,1.9858814302237209,0.0,2,0,0.0,304,2,0,0,20,0.0,1.0
a0ec71d79cac,dev_0d2c7feb,edge_device,1.9302006368239049,0.0,2,0,0.0,438,2,0,0,21,0.0,1.0
8df5e07e26f6,dev_0d2c7feb,edge_device,1.9085448886233798,0.0,2,0,0.0,467,3,0,0,22,0.0,1.0
b812a517163b,dev_0d2c7feb,edge_device,1.8284514254880477,0.0,2,0,0.0,158,5,0,0,23,0.0,1.0
dbe07d01a262,dev_0d2c7feb,edge_device,1.7613272026838651,0.0,2,0,0.0,304,3,0,0,24,0.0,1.0
74cd6a93c86f,dev_0d2c7feb,edge_device,1.6975001838837893,0.0,2,0,0.0,466,6,0,0,25,0.0,1.0
45c8c3822f43,dev_0d2c7feb,edge_device,1.673111391254116,0.0,1,0,0.0,320,6,0,0,26,0.0,1.0
3cd34a8c4027,dev_0d2c7feb,edge_device,1.7186870430755872,0.0,2,0,0.0,230,5,0,0,27,0.0,1.0
327250980354,dev_0d2c7feb,edge_device,1.7043335279491285,0.0,2,0,0.0,529,5,0,0,28,0.0,1.0
078caa83308f,dev_0d2c7feb,edge_device,1.676418651366791,0.0,2,0,0.0,318,5,0,0,29,0.0,1.0
1321d6a4d473,dev_0d2c7feb,edge_device,1.6064081645433652,0.0,2,0,0.0,296,4,0,0,30,0.0,1.0
6dcd6b7f15cb,dev_0d2c7feb,edge_device,1.5764376357771548,0.0,2,0,0.0,432,6,0,0,31,0.0,1.0
9cee57048459,dev_0d2c7feb,edge_device,1.6011178696148025,0.0,1,0,0.0,465,5,0,0,32,0.0,1.0
33b94417b727,dev_0d2c7feb,edge_device,1.551222118326525,0.0,1,0,0.0,258,4,0,0,33,0.0,1.0
f55aa8e2d0b7,dev_0d2c7feb,edge_device,1.5151459790409718,0.0,2,0,0.0,291,4,0,0,34,0.0,1.0
243f3a08216f,dev_0d2c7feb,edge_device,1.4693465703093724,0.0,2,0,0.0,453,2,0,0,35,0.0,1.0
0129b9e39289,dev_0d2c7feb,edge_device,1.4828401753352924,0.0,2,0,0.0,177,3,0,0,36,0.0,1.0
d76b23b14ae4,dev_0d2c7feb,edge_device,1.4364342617190498,0.0,1,0,0.0,189,2,0,0,37,0.0,1.0
a7c901047e97,dev_0d2c7feb,edge_device,1.408729467679102,0.0,1,0,0.0,123,3,0,0,38,0.0,1.0
f0b197cbbd38,dev_0d2c7feb,edge_device,1.3769457042381514,0.0,1,0,0.0,411,3,0,0,39,0.0,1.0
81fcb6d4b113,dev_0d2c7feb,edge_device,1.3562297661658382,0.0,1,0,0.0,292,4,0,0,40,0.0,1.0
fd7782488d2c,dev_0d2c7feb,edge_device,1.3162777312731386,0.0,1,0,0.0,333,6,0,0,41,0.0,1.0
52878acc0582,dev_0d2c7feb,edge_device,1.2964987167236628,0.0,3,0,0.0,333,6,0,0,42,0.0,1.0
5f86ca47d295,dev_0d2c7feb,edge_device,1.29520111768327,0.0,2,0,0.0,395,5,0,0,43,0.0,1.0
0dd31f9778f0,dev_0d2c7feb,edge_device,1.265073061621781,0.0,1,0,0.0,357,3,0,0,44,0.0,1.0
e5c0472cfe23,dev_0d2c7feb,edge_device,1.2652956500205699,0.0,3,0,0.0,258,6,0,0,45,0.0,1.0
85d0a35a4ca4,dev_0d2c7feb,edge_device,1.2313313054818116,0.0,1,0,0.0,253,2,0,0,46,0.0,1.0
b606203cef44,dev_0d2c7feb,edge_device,1.2078954820742653,0.0,1,0,0.0,197,5,0,0,47,0.0,1.0
52baef48e32f,dev_0d2c7feb,edge_device,1.1746107188661117,0.0,3,0,0.0,320,4,0,0,48,0.0,1.0
0f5ae08203c6,dev_0d2c7feb,edge_device,1.1516095136752302,0.0,2,0,0.0,158,3,0,0,49,0.0,1.0
2bdf4fbb1f00,dev_0d2c7feb,edge_device,1.1298589327776614,0.0,2,0,0.0,514,4,0,0,50,0.0,1.0
454c385acbce,dev_0d2c7feb,edge_device,1.1148004650595653,0.0,3,0,0.0,265,6,0,0,51,0.0,1.0
4f7bf1a63686,dev_0d2c7feb,edge_device,1.153017911564046,0.0,3,0,0.0,254,3,0,0,52,0.0,1.0
e29a0454427e,dev_0d2c7feb,edge_device,1.1311182287538055,0.0,3,0,0.0,351,2,0,0,53,0.0,1.0
5cd336f0e14a,dev_0d2c7feb,edge_device,1.1378472279104994,0.0,2,0,0.0,233,6,0,0,54,0.0,1.0
20ee3165b756,dev_0d2c7feb,edge_device,1.1304157847405805,0.0,1,0,0.0,59,5,0,0,55,0.0,1.0
8bddcd79f123,dev_0d2c7feb,edge_device,1.1014737009115523,0.0,1,0,0.0,362,6,0,0,56,0.0,1.0
fb8cbde0ce6d,dev_0d2c7feb,edge_device,1.120368024722208,0.0,2,0,0.0,204,6,0,0,57,0.0,1.0
50624e7d4f25,dev_0d2c7feb,edge_device,1.1272911714807703,0.0,2,0,0.0,591,3,0,0,58,0.0,1.0
e23552e200d6,dev_0d2c7feb,edge_device,1.109357163222153,0.0,1,0,0.0,301,6,0,0,59,0.0,1.0
dd8c0b27a714,dev_0d2c7feb,edge_device,1.097746059227003,0.0,1,0,0.0,153,2,0,0,60,0.0,1.0
02530229cdc9,dev_0d2c7feb,edge_device,1.0839994791791696,0.0,3,0,0.0,459,4,0,0,61,0.0,1.0
2bebdec59e45,dev_0d2c7feb,edge_device,1.0736180273578875,0.0,2,0,0.0,408,4,0,0,62,0.0,1.0
dfd71de9018b,dev_0d2c7feb,edge_device,1.0771804018929163,0.0,2,0,0.0,284,5,0,0,63,0.0,1.0
f93159db8324,dev_0d2c7feb,edge_device,1.0751491428824755,0.0,1,0,0.0,256,5,0,0,64,0.0,1.0
06824dd64348,dev_0d2c7feb,edge_device,1.1643809867572787,0.0,2,0,0.0,13,4,0,0,65,0.0,1.0
1dd37548c018,dev_0d2c7feb,edge_device,1.2859166468853487,0.0,1,0,0.0,231,3,0,0,66,0.0,1.0
92f8a5ce18a9,dev_0d2c7feb,edge_device,1.2663782984665557,0.0,1,0,0.0,350,2,0,0,67,0.0,1.0
099f5200c61c,dev_0d2c7feb,edge_device,1.2506116146793016,0.0,1,0,0.0,314,4,0,0,68,0.0,1.0
4452dd4cb193,dev_0d2c7feb,edge_device,1.4034544679691399,0.0,1,0,0.0,181,6,0,0,69,0.0,1.0
521fceb3e93d,dev_0d2c7feb,edge_device,1.3649242370185297,0.0,2,0,0.0,211,4,0,0,70,0.0,1.0
6c1d6003c512,dev_0d2c7feb,edge_device,1.3933800634725266,0.0,2,0,0.0,196,3,0,0,71,0.0,1.0
025eba59189e,dev_0d2c7feb,edge_device,1.350359905314024,0.0,2,0,0.0,390,4,0,0,72,0.0,1.0
de7a1274621b,dev_0d2c7feb,edge_device,1.3709285216431508,0.0,3,0,0.0,94,3,0,0,73,0.0,1.0
8668b34330ba,dev_0d2c7feb,edge_device,1.3944379320329499,0.0,2,0,0.0,394,3,0,0,74,0.0,1.0
6a582040d198,dev_0d2c7feb,edge_device,1.427913694157801,0.0,3,0,0.0,310,3,0,0,75,0.0,1.0
77828dbb9e8c,dev_0d2c7feb,edge_device,1.379751186977868,0.0,1,0,0.0,452,2,0,0,76,0.0,1.0
c7e7c9779291,dev_0d2c7feb,edge_device,1.3351847501298013,0.0,3,0,0.0,460,6,0,0,77,0.0,1.0
fcca5097ad5a,dev_0d2c7feb,edge_device,1.2937721581028496,0.0,2,0,0.0,345,6,0,0,78,0.0,1.0
7ab84eb47d3d,dev_0d2c7feb,edge_device,1.2551444210921578,0.0,2,0,0.0,117,4,0,0,79,0.0,1.0
cdc9e873fc1b,dev_0d2c7feb,edge_device,1.2189908604530986,0.0,1,0,0.0,239,2,0,0,80,0.0,1.0
0fca4379ae8b,dev_0d2c7feb,edge_device,1.1850477443290266,0.0,1,0,0.0,247,2,0,0,81,0.0,1.0
9904e94614bc,dev_0d2c7feb,edge_device,1.1530895209075798,0.0,2,0,0.0,204,5,0,0,82,0.0,1.0
53feaf2f2582,dev_0d2c7feb,edge_device,1.12292197515617,0.0,3,0,0.0,197,2,0,0,83,0.0,1.0
841f51248988,dev_0d2c7feb,edge_device,1.0943768290901539,0.0,1,0,0.0,341,6,0,0,84,0.0,1.0
7e2828779e82,dev_0d2c7feb,edge_device,2.23900556362352,0.0,2,0,0.0,344,4,0,0,85,0.0,1.0
8fe2007c2c90,dev_0d2c7feb,edge_device,1.2308206151056873,0.0,3,0,0.0,393,4,0,0,86,0.0,1.0
e69baa460059,dev_0d2c7feb,edge_device,1.1540036749697735,0.0,2,0,0.0,250,6,0,0,87,0.0,1.0
516abdebed8c,dev_0d2c7feb,edge_device,0.9623511931236672,0.0,3,0,0.0,84,5,0,0,88,0.0,1.0
dbf50382aa9d,dev_0d2c7feb,edge_device,0.9325379324608513,0.0,3,0,0.0,231,2,0,0,89,0.0,1.0
9ac6a1a44c43,dev_0d2c7feb,edge_device,0.8507120601844798,0.0,3,0,0.0,59,4,0,0,90,0.0,1.0
ade8775f9b26,dev_0d2c7feb,edge_device,0.831850491541543,0.0,3,0,0.0,216,2,0,0,91,0.0,1.0
22565428c0d2,dev_0d2c7feb,edge_device,0.7555726941732056,0.0,1,0,0.0,206,3,0,0,92,0.0,1.0
06e4d9f56f0e,dev_0d2c7feb,edge_device,0.7106455456036951,0.0,2,0,0.0,394,5,0,0,93,0.0,1.0
b641558ac258,dev_0d2c7feb,edge_device,0.6758880043120211,0.0,1,0,0.0,580,2,0,0,94,0.0,1.0
57ee3d4f5ab0,dev_0d2c7feb,edge_device,0.5215146348063664,0.0,2,0,0.0,552,6,0,0,95,0.0,1.0
ee897f28a83b,dev_0d2c7feb,edge_device,0.4818491287457259,0.0,1,0,0.0,90,6,0,0,96,0.0,1.0
040f7457f566,dev_0d2c7feb,edge_device,0.32477358208405277,0.0,3,0,0.0,190,5,0,0,97,0.0,1.0
41e302ddab9b,dev_0d2c7feb,edge_device,0.2762713194993245,0.0,1,0,0.0,411,3,0,0,98,0.0,1.0
0704dbe215da,dev_0d2c7feb,edge_device,0.2445260951316474,0.0,3,0,0.0,279,3,0,0,99,0.0,1.0
124dce25133a,dev_0d2c7feb,edge_device,0.15562082808824645,0.0,2,0,0.0,197,3,0,0,100,0.0,1.0
d818ff6dd04d,dev_0d2c7feb,edge_device,0.12240804558149329,0.0,3,0,0.0,5,2,0,0,101,0.0,1.0
bab0390381f7,dev_0d2c7feb,edge_device,0.09412273997710614,0.0,1,0,0.0,167,2,0,0,102,0.0,1.0
701c4fd7c9dc,dev_0d2c7feb,edge_device,0.08315297708378969,0.0,3,0,0.0,326,2,0,0,103,0.0,1.0
968bad646a6b,dev_0d2c7feb,edge_device,0.0422183469437856,0.0,3,0,0.0,168,6,0,0,104,0.0,1.0
47aa04523260,dev_0d2c7feb,edge_device,0.0316234063432577,0.0,1,0,0.0,466,2,0,0,105,0.0,1.0
7a18e5a9962a,dev_0d2c7feb,edge_device,0.007089619719652893,0.0,2,0,0.0,345,3,0,0,106,0.0,1.0
af3178cde839,dev_0d2c7feb,edge_device,0.04838953919942608,0.0,2,0,0.0,327,6,0,0,107,0.0,1.0
2cdd198cfb99,dev_0d2c7feb,edge_device,0.05044877536107951,0.0,2,0,0.0,261,3,0,0,108,0.0,1.0
cf4f80ebde98,dev_0d2c7feb,edge_device,0.12926706281088146,0.0,3,0,0.0,276,5,0,0,109,0.0,1.0
2dfbeddf972e,dev_0d2c7feb,edge_device,0.13311168922872899,0.0,3,0,0.0,111,3,0,0,110,0.0,1.0
