session_id,label,anomaly_type
8509dccf0a20,normal,none
a2709d5eb1bd,normal,none
5ca9084c0baf,normal,none
1e393794ea5e,normal,none
331b972850bd,normal,none
7fd6a0463dba,normal,none
cbd892b4c826,normal,none
f3bdf5c5b535,normal,none
ee70b5af0da8,normal,none
40e4a7600a90,normal,none
99972b051122,normal,none
02d37683320b,normal,none
8f1aa7d9e366,normal,none
37a7c001865e,normal,none
61d4051f5424,normal,none
a7c097ff19c3,normal,none
ef6c53258457,normal,none
8808f2316705,normal,none
49c905095e99,normal,none
d262cc1b2a75,normal,none
bf421f8b96e1,normal,none
8eeae57ce435,normal,none
d76bb15aabe0,normal,none
5f0bcc131ce3,normal,none
8662af63584c,normal,none
7798dfdbb272,normal,none
4b343d90bc01,normal,none
217e697eebb9,normal,none
e38cbe9faa78,normal,none
2a89b5a239f4,normal,none
7716cefb10d0,normal,none
a5010830ca79,normal,none
c6c9e27a6a3d,normal,none
10f89dbfa485,normal,none
a837cd861916,normal,none
a0234a40709e,normal,none
b4612abd1027,normal,none
8d7c2c7d80d7,normal,none
957f98045e38,normal,none
3b476223dfb9,normal,none
ca2391a2b56f,normal,none
d525cd3e0401,normal,none
6618bafcdeca,normal,none
4923ca16ac80,normal,none
de1bc212d884,normal,none
a60f7565474e,normal,none
592d668a838e,normal,none
6979277e2743,normal,none
55da15baa78b,normal,none
19f077457359,normal,none
ca8869a11ac1,normal,none
d603437c098b,normal,none
32a8fe8b5001,normal,none
c77eed2c8837,normal,none
24883d7e938b,normal,none
810bf9ee1f54,normal,none
5f41d4aad678,normal,none
a96fc1c44711,normal,none
4cdcee7efee2,normal,none
fa55a120346f,normal,none
a7a760d55eaa,normal,none
2f3b602eb955,normal,none
f0c06d457889,normal,none
00f815b9a99d,normal,none
700c616e477a,normal,none
325c8ad1ef05,normal,none
8a60bc88da63,normal,none
46cc6b2ed5fa,normal,none
b7eda1f1041c,normal,none
f3e49ef27b7b,normal,none
0d4b49784eb6,normal,none
cdcdfed4d603,normal,none
c909dfeae0c3,normal,none
4c2d43dc6587,normal,none
1967185bacca,normal,none
7b9cc440cdc1,normal,none
84914591a741,normal,none
4cdc593d0003,normal,none
9d76ae3f7618,normal,none
2b4f3ccd9a1c,normal,none
689875759371,normal,none
38980db51632,normal,none
93f8ca9ac2f4,normal,none
10e1708b25fc,normal,none
d07bc7111fc8,normal,none
397f7879de67,normal,none
95e61d585e98,normal,none
