session_id,seq_risk_score,has_sequence_score
a3b31e29d0b7,2.9354917e-06,1
3cccd1c36c04,1.0067904e-06,1
6da162376022,9.616411e-07,1
1a25fa4c0260,1.2986853e-06,1
3c52fc5a6274,1.0429509e-06,1
ef857fd17526,7.9678176e-07,1
2603e5aa3cdd,6.9950016e-07,1
f107a9cd7433,7.04836e-07,1
8c0e7447c6e0,4.2699003e-07,1
5668c87ec0bf,5.42089e-07,1
ecc4bbe84afa,6.31255e-07,1
2fad7ecc69ba,6.745321e-07,1
0cef5854c84f,7.092971e-07,1
c0f21193c4ea,3.0993365e-07,1
6df71151b2b6,3.3000612e-07,1
bf53470f190c,1.270627e-07,1
88b9f73d4997,2.853106e-07,1
a0ec71d79cac,2.8569656e-07,1
8df5e07e26f6,2.6896484e-07,1
b812a517163b,4.563358e-07,1
dbe07d01a262,2.6185808e-07,1
74cd6a93c86f,5.010447e-07,1
45c8c3822f43,5.595631e-07,1
3cd34a8c4027,4.6439663e-07,1
327250980354,3.7305153e-07,1
078caa83308f,4.1712624e-07,1
1321d6a4d473,2.4161415e-07,1
6dcd6b7f15cb,3.451916e-07,1
9cee57048459,3.7290278e-07,1
33b94417b727,2.5877588e-07,1
f55aa8e2d0b7,2.278471e-07,1
243f3a08216f,4.392042e-07,1
0129b9e39289,3.7978592e-07,1
d76b23b14ae4,2.6138036e-07,1
a7c901047e97,2.5722693e-07,1
f0b197cbbd38,2.8319224e-07,1
81fcb6d4b113,2.443814e-07,1
fd7782488d2c,1.9459911e-07,1
52878acc0582,4.4097877e-07,1
5f86ca47d295,4.0096384e-07,1
0dd31f9778f0,3.847384e-07,1
e5c0472cfe23,4.4517208e-07,1
85d0a35a4ca4,6.3599043e-07,1
b606203cef44,6.9509457e-07,1
52baef48e32f,8.110426e-07,1
0f5ae08203c6,7.487079e-07,1
2bdf4fbb1f00,6.1140355e-07,1
454c385acbce,4.7829815e-07,1
4f7bf1a63686,6.3551954e-07,1
e29a0454427e,6.878955e-07,1
5cd336f0e14a,7.364611e-07,1
20ee3165b756,7.4760857e-07,1
8bddcd79f123,4.8733256e-07,1
fb8cbde0ce6d,6.2197427e-07,1
50624e7d4f25,5.287239e-07,1
e23552e200d6,7.135112e-07,1
dd8c0b27a714,7.872589e-07,1
02530229cdc9,1.3258039e-06,1
2bebdec59e45,1.172934e-06,1
dfd71de9018b,5.2277716e-07,1
f93159db8324,5.4035206e-07,1
06824dd64348,1.9945696e-07,1
1dd37548c018,2.0074434e-07,1
92f8a5ce18a9,2.0775607e-07,1
099f5200c61c,2.585528e-07,1
4452dd4cb193,4.288372e-07,1
521fceb3e93d,2.5067234e-07,1
6c1d6003c512,3.4939862e-07,1
025eba59189e,2.4873768e-07,1
de7a1274621b,2.9330582e-07,1
8668b34330ba,4.0307535e-07,1
6a582040d198,4.206237e-07,1
77828dbb9e8c,5.315859e-07,1
c7e7c9779291,6.438335e-07,1
fcca5097ad5a,4.2195012e-07,1
7ab84eb47d3d,5.8984926e-07,1
cdc9e873fc1b,5.965017e-07,1
0fca4379ae8b,4.645189e-07,1
9904e94614bc,4.3496797e-07,1
53feaf2f2582,6.1055096e-07,1
841f51248988,6.112619e-07,1
7e2828779e82,8.0716643e-07,1
8fe2007c2c90,7.510612e-07,1
e69baa460059,7.661293e-07,1
516abdebed8c,3.7462368e-07,1
dbf50382aa9d,5.5387045e-07,1
9ac6a1a44c43,4.7617516e-07,1
ade8775f9b26,3.5770356e-07,1
22565428c0d2,6.479149e-07,1
06e4d9f56f0e,5.237179e-07,1
b641558ac258,7.194752e-07,1
